iter	Logloss
0	0.6751864594
1	0.6589515383
2	0.6436531653
3	0.6292319398
4	0.6157722431
5	0.6035969003
6	0.5921734442
7	0.5814818881
8	0.5717121696
9	0.5622702584
10	0.5533300229
11	0.5452043033
12	0.5379073
13	0.5310111823
14	0.525016726
15	0.5190985843
16	0.5136490819
17	0.5082205503
18	0.5031733331
19	0.498631581
20	0.4942554715
21	0.4900117355
22	0.4863328245
23	0.4826686711
24	0.4794092402
25	0.4761371329
26	0.4734169182
27	0.4708531678
28	0.4683455009
29	0.4658435676
30	0.4637932716
31	0.4615843563
32	0.4595439205
33	0.4574579353
34	0.4557717833
35	0.4540412053
36	0.4525344129
37	0.451133384
38	0.4498199601
39	0.4487987834
40	0.4475602603
41	0.4464618541
42	0.4452600712
43	0.4441784704
44	0.4432354949
45	0.4422460154
46	0.4412765576
47	0.4403671105
48	0.4396085606
49	0.4389012736
50	0.4383147013
51	0.4377570482
52	0.437175233
53	0.4364972355
54	0.43589376
55	0.4352362048
56	0.4347677473
57	0.4343162035
58	0.4338621619
59	0.4334498076
60	0.4329668747
61	0.4325525849
62	0.4321723515
63	0.4317625778
64	0.4314730009
65	0.4310355509
66	0.4306668358
67	0.4304500994
68	0.4302022673
69	0.4298520479
70	0.4295576377
71	0.4292539586
72	0.428959707
73	0.4286733876
74	0.428413583
75	0.4282640469
76	0.4280003306
77	0.4277251306
78	0.4275513207
79	0.4273194805
80	0.4271361124
81	0.4270103875
82	0.4267919078
83	0.4265848134
84	0.4263911068
85	0.4261887217
86	0.4260078215
87	0.4258595774
88	0.425732801
89	0.4255722589
90	0.4253925391
91	0.4251865192
92	0.4250796864
93	0.424953772
94	0.4248047248
95	0.4246801921
96	0.4245222992
97	0.4244211183
98	0.4243175947
99	0.424186615
100	0.4241120376
101	0.4240073992
102	0.4239185806
103	0.4238370912
104	0.4237080273
105	0.4235542655
106	0.4234426548
107	0.423316645
108	0.4232078499
109	0.4231107455
110	0.4230422815
111	0.4229550171
112	0.4229015033
113	0.4227935998
114	0.4227354534
115	0.4226206623
116	0.4225640913
117	0.4224991381
118	0.4224291547
119	0.4223376081
120	0.4222587173
121	0.4222042444
122	0.4221034863
123	0.4220303363
124	0.4219502541
125	0.4218886222
126	0.4217733808
127	0.4217088138
128	0.4216144534
129	0.4215678015
130	0.4214937012
131	0.4214340423
132	0.4213616862
133	0.4212888488
134	0.4212245706
135	0.4211839069
136	0.4211338966
137	0.4210553544
138	0.4209619509
139	0.4209047073
140	0.4208654112
141	0.4207929453
142	0.4207635564
143	0.4206672422
144	0.4205668642
145	0.4205042259
146	0.4204448561
147	0.4204185931
148	0.4203519987
149	0.4202792749
150	0.4202207608
151	0.4201908303
152	0.4201092478
153	0.4200780912
154	0.4200221209
155	0.4199515705
156	0.4198818497
157	0.419798612
158	0.4197212271
159	0.4196332032
160	0.4195201356
161	0.4194625896
162	0.4194255777
163	0.4193746957
164	0.4193510603
165	0.419317758
166	0.4192896485
167	0.4192276439
168	0.4191607051
169	0.4191209005
170	0.4190452826
171	0.4190175818
172	0.418972778
173	0.4189571171
174	0.4189151077
175	0.4188867355
176	0.418845309
177	0.418806994
178	0.4187640127
179	0.4187325522
180	0.4186712432
181	0.4186131244
182	0.4185443561
183	0.4184679014
184	0.4184160829
185	0.4183756513
186	0.4183235715
187	0.4182573563
188	0.4182461479
189	0.4181919574
190	0.4181407284
191	0.4180394652
192	0.4180167704
193	0.4180025427
194	0.4179518703
195	0.4179145673
196	0.4178821818
197	0.4178638512
198	0.4177847931
199	0.4177421124
200	0.417694997
201	0.4176481923
202	0.4176062697
203	0.4175845509
204	0.4175485804
205	0.4174890265
206	0.4174314777
207	0.4173698239
208	0.4173264461
209	0.4172648544
210	0.4171852014
211	0.4171147565
212	0.4170626253
213	0.4170227404
214	0.4169749677
215	0.41692479
216	0.4168731722
217	0.4168393251
218	0.4168030602
219	0.4167647676
220	0.4167546132
221	0.4167118737
222	0.4166795895
223	0.4166410215
224	0.4166112927
225	0.4165625673
226	0.4165448599
227	0.4165249486
228	0.4164839369
229	0.4164207064
230	0.4163486006
231	0.4163025667
232	0.4162696978
233	0.4162223234
234	0.4162048753
235	0.416179648
236	0.4161306729
237	0.4160853112
238	0.416015888
239	0.4159727319
240	0.4159226622
241	0.415873009
242	0.4158520496
243	0.4158172839
244	0.4157548439
245	0.4157172274
246	0.4156767132
247	0.4156401318
248	0.415597882
249	0.4155312969
250	0.4154819482
251	0.4154659557
252	0.4154325779
253	0.4153867926
254	0.4153177011
255	0.4152787575
256	0.4152168943
257	0.4151580745
258	0.4151170763
259	0.4150988157
260	0.4150669992
261	0.4150164633
262	0.4149912564
263	0.4149283846
264	0.4148655627
265	0.4148351085
266	0.4147978349
267	0.4147826673
268	0.4147043768
269	0.4146485625
270	0.4146362677
271	0.4146166576
272	0.4145595098
273	0.4145224961
274	0.4144740404
275	0.4144390238
276	0.4144160391
277	0.4143675089
278	0.4143030544
279	0.4142633322
280	0.4142615273
281	0.4142152651
282	0.4141865972
283	0.4141572458
284	0.4141020402
285	0.4140832248
286	0.4140510821
287	0.4139916344
288	0.4139650217
289	0.4139317649
290	0.4139054296
291	0.4138695617
292	0.4138381558
293	0.4137960745
294	0.4137519375
295	0.413701041
296	0.4136680026
297	0.4136073546
298	0.413573988
299	0.4135541251
300	0.4135368203
301	0.4134809555
302	0.4134418099
303	0.413380392
304	0.4133579941
305	0.41331678
306	0.4132995966
307	0.4132734554
308	0.4132057908
309	0.4131240098
310	0.4130866102
311	0.4130469704
312	0.412996218
313	0.4129395126
314	0.4129167121
315	0.4129110639
316	0.4128578198
317	0.4128030761
318	0.4127520516
319	0.4127038122
320	0.4126549091
321	0.4126339618
322	0.4125836492
323	0.4125465598
324	0.4125341762
325	0.4125106487
326	0.4124753291
327	0.412451873
328	0.4124474757
329	0.4123920145
330	0.4123357501
331	0.412293935
332	0.4122469818
333	0.4122140555
334	0.4121772001
335	0.4121327926
336	0.4120937746
337	0.4120680431
338	0.4120145244
339	0.4119906938
340	0.4119470131
341	0.4119052602
342	0.4118520143
343	0.411835964
344	0.411773351
345	0.4117276563
346	0.411682547
347	0.4116240687
348	0.4115770226
349	0.4115197599
350	0.4115153315
351	0.4114719303
352	0.4114339718
353	0.411385025
354	0.4113310504
355	0.4112608803
356	0.4112036439
357	0.4111522455
358	0.4111402623
359	0.4111041358
360	0.4110513777
361	0.4110150158
362	0.4109748923
363	0.4109208287
364	0.4108473778
365	0.4108179422
366	0.4107629512
367	0.4107155597
368	0.4106523795
369	0.4106114338
370	0.4105443485
371	0.4104974658
372	0.4104673766
373	0.4104365547
374	0.4104019721
375	0.4103785638
376	0.4103382804
377	0.4103198083
378	0.4102841328
379	0.4102533753
380	0.4102265566
381	0.4101664344
382	0.410113406
383	0.4100819791
384	0.4100202217
385	0.4099685159
386	0.4099174145
387	0.4098600503
388	0.409825061
389	0.4097952802
390	0.4097756793
391	0.4097371372
392	0.4096755269
393	0.4096212849
394	0.4095548776
395	0.4095044974
396	0.4094356233
397	0.4093948334
398	0.4093189023
399	0.4092894994
400	0.4092450648
401	0.4092052935
402	0.4091604104
403	0.4091198967
404	0.4090855282
405	0.4090603482
406	0.409002217
407	0.4089397321
408	0.4088851998
409	0.4088239674
410	0.4088037786
411	0.4087718688
412	0.4086949704
413	0.4086260822
414	0.4085709222
415	0.4085233265
416	0.4084426785
417	0.4083940972
418	0.4083603143
419	0.4083052571
420	0.4082666127
421	0.408255614
422	0.4082001612
423	0.4081699659
424	0.4081105679
425	0.4080425138
426	0.4079977965
427	0.4079345384
428	0.407885213
429	0.4078300513
430	0.4077869912
431	0.4077488884
432	0.4076802441
433	0.4076286713
434	0.4075797043
435	0.4075460292
436	0.4074947092
437	0.4074286365
438	0.4074262017
439	0.4073910604
440	0.4073338879
441	0.4072829586
442	0.4072333065
443	0.4071912031
444	0.4071497389
445	0.4070929345
446	0.4070492048
447	0.4069930914
448	0.4069323346
449	0.4069025974
450	0.4068299253
451	0.4067618187
452	0.4067081207
453	0.4066991537
454	0.4066544439
455	0.4066324941
456	0.4065859263
